Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,Date of Birth,Quarter of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,Salary$,County,City,State,Zip
677509,Drs.,Luby,H,xxx,F,02-05-1975,Q4,2003,11,November,Nov,24,168251,Denver,Denver,TN,80224
940761,Ms.,reve,S,xxx,F,02-05-1975,Q3,2008,7,July,Jul,27,51063,De Soto,Stonewall,FL,71078
428945,Dr.,Joe,W,xxx,M,02-05-1975,Q3,2016,8,August,Aug,3,50155,Clinton,Michigantown,SD,46057
408351,Drs.,Wen,I,xxx,F,02-05-1975,Q2,1999,4,April,Apr,16,180294,Crawford,Hydetown,ND,16328
193819,Mr.,Benjamin,R,xxx,M,02-05-1975,Q3,2013,7,July,Jul,25,117642,Waupaca,Fremont,WA,54940
499687,Mr.,Patrick,F,xxx,M,02-05-1975,Q3,2005,7,July,Jul,22,72305,Madison,Macksburg,TN,50155
539712,Ms.,Nancy,T,xxx,F,02-05-1975,Q3,2016,9,September,Sep,14,98189,Fulton,Atlanta,AZ,30334
380086,Mrs.,Carol,V,xxx,F,02-05-1975,Q1,1983,1,January,Jan,28,60918,Clinton,Blanchester,FL,45107
477616,Hon.,Frances,B,xxx,F,02-05-1975,Q2,1994,4,April,Apr,27,121587,Starr,Delmita,TX,78536
162402,Hon.,Diana,T,xxx,F,02-05-1975,Q1,2014,2,February,Feb,17,43010,Carroll,Eureka Springs,AR,72632
231469,Mr.,Ralph,L,xxx,M,02-05-1975,Q2,2009,4,April,Apr,14,118457,Nemaha,Sabetha,KS,66534
153989,Prof.,Jack,C,xxx,M,02-05-1975,Q1,2017,1,January,Jan,5,82965,Clark,Las Vegas,NV,89170
386158,Mrs.,Melissa,Q,xxx,F,02-05-1975,Q4,2015,11,November,Nov,24,166892,Washington,New Matamoras,CO,45767
301576,Hon.,Wayne,G,xxx,M,02-05-1975,Q3,2017,7,July,Jul,19,92758,Cavalier,Maida,LA,58255
441771,Mrs.,Cheryl,O,xxx,F,02-05-1975,Q4,1990,11,November,Nov,26,92220,Somerset,Quecreek,IN,15555
528509,Hon.,Paula,G,xxx,F,02-05-1975,Q3,1994,8,August,Aug,22,152654,Duplin,Beulaville,PA,28518
912990,Mr.,Joshua,T,xxx,M,02-05-1975,Q3,2002,9,September,Sep,2,184896,Madison,New Douglas,WI,62074
214352,Ms.,Theresa,G,xxx,F,02-05-1975,Q1,2015,1,January,Jan,19,197537,Mitchell,Toeterville,IA,50481
890290,Hon.,Julia,S,xxx,F,02-05-1975,Q1,2005,2,February,Feb,23,141518,Hickman,Primm Springs,GA,38476
622406,Mr.,Thomas,Q,xxx,M,02-10-1969,Q2,1998,6,June,Jun,7,73862,Cape Girardeau,Dutchtown,OH,63745
979607,Ms.,Carol,J,xxx,F,05-12-1981,Q2,2016,4,April,Apr,25,93967,Caddo,Shreveport,TX,71162
969580,Prof.,Matthew,L,xxx,M,02-10-1969,Q1,2016,2,February,Feb,7,52237,Northumberland,Heathsville,VA,22473
426038,Hon.,Joan,C,xxx,F,05-12-1981,Q4,2009,12,December,Dec,30,111673,Meigs,Middleport,OH,45760
388642,Mrs.,Ruby,R,xxx,F,05-01-1980,Q3,2013,8,August,Aug,30,160623,Cannon,Woodbury,TN,37190
560455,Ms.,Carolyn,V,xxx,F,03-10-1958,Q3,2001,7,July,Jul,3,42005,Osceola,Saint Cloud,FL,34771
477253,Mrs.,Anne,L,xxx,F,02-05-1975,Q4,2013,11,November,Nov,24,103160,Grant,Stockholm,SD,57264
263480,Hon.,Daniel,K,xxx,M,01-01-1990,Q1,2014,3,March,Mar,6,153790,Dunn,Manning,ND,58642
683826,Mr.,Roger,L,xxx,M,07-07-1969,Q1,2009,1,January,Jan,29,129625,Skagit,Mount Vernon,WA,98273
474599,Drs.,Maria,W,xxx,F,02-05-1975,Q4,1998,10,October,Oct,1,48944,Lawrence,Lawrenceburg,TN,38464
335732,Ms.,Brenda,M,xxx,F,12-06-1963,Q3,1987,8,August,Aug,20,60508,Maricopa,Mesa,AZ,85208
329752,Hon.,Lillian,X,xxx,F,05-12-1981,Q2,2015,4,April,Apr,13,67251,Wakulla,Panacea,FL,32346
893212,Ms.,Amy,B,xxx,F,02-05-1975,Q2,2003,6,June,Jun,1,112715,Kline,Kline,SC,29814
621833,Mr.,Gregory,X,xxx,M,02-05-1975,Q3,2015,9,September,Sep,30,169245,Klamath,Bonanza,OR,97623
456747,Mr.,Roy,Z,xxx,M,05-08-1991,Q3,2012,8,August,Aug,23,170895,Union,Liberty,IN,47353
278556,Prof.,Richard,Y,xxx,M,02-05-1975,Q3,2016,8,August,Aug,18,122226,Calhoun,Ohatchee,AL,36271
333476,Hon.,Mary,P,xxx,F,12-01-1967,Q4,1991,12,December,Dec,22,109394,Davidson,Nashville,IA,37219
218791,Mr.,Aaron,N,xxx,M,02-10-1969,Q3,1997,7,July,Jul,3,54402,Crawford,Eckerty,LA,47116
134841,Ms.,Donna,R,xxx,F,12-06-1963,Q3,2013,7,July,Jul,17,129836,Livingston,Lima,KS,14485
726264,Hon.,Carl,N,xxx,M,05-12-1981,Q2,2007,6,June,Jun,9,162159,Jefferson,Wright,TN,72182
766610,Ms.,Joyce,E,xxx,F,02-05-1975,Q2,2010,5,May,May,14,119321,Pierce,Ellsworth,NH,54011
923947,Ms.,Mary,G,xxx,F,02-05-1975,Q2,2004,5,May,May,20,155442,Iowa,Conroy,IN,52220
227922,Hon.,Amanda,M,xxx,F,05-08-1991,Q2,2007,4,April,Apr,19,114257,Calcasieu,Lake Charles,AR,70605
265813,Hon.,Jack,E,xxx,M,02-05-1975,Q3,2007,7,July,Jul,29,186280,Kalvesta,Kalvesta,KS,67856
247137,Mr.,Alan,E,xxx,M,12-01-1967,Q2,2006,6,June,Jun,7,154810,Knox,Knoxville,TN,37901
407061,Ms.,Elizabeth,Q,xxx,F,12-06-1963,Q1,2005,1,January,Jan,19,85420,Strafford,Rochester,NH,3867
226714,Drs.,Nancy,L,xxx,F,05-12-1981,Q3,2012,8,August,Aug,25,94986,Clay,Bowling Green,IN,47833
702813,Mr.,Ernest,D,xxx,M,02-05-1975,Q1,2016,1,January,Jan,24,172098,Crawford,Uniontown,AR,72955
524896,Ms.,Judy,Y,xxx,F,02-05-1975,Q4,2011,12,December,Dec,27,133332,Shawnee,Topeka,KS,66606
363065,Drs.,Nancy,L,xxx,F,05-08-1991,Q4,2015,10,October,Oct,16,61924,New York,New York City,NY,10087
879753,Mrs.,Pamela,X,xxx,F,02-05-1975,Q2,2017,6,June,Jun,9,149262,Sheridan,Banner,AR,82832
958326,Mr.,Larry,T,xxx,M,12-01-1967,Q1,2017,2,February,Feb,22,97904,St. Clair,East Saint Louis,WI,62201
447813,Mrs.,Ann,Q,xxx,F,05-11-1989,Q4,2013,11,November,Nov,19,130014,Pottawattamie,Hancock,IA,51536
525955,Drs.,Judy,C,xxx,F,05-11-1989,Q1,1992,1,January,Jan,3,149575,Monmouth,Eatontown,LA,7724
818384,Mr.,Peter,X,xxx,M,11-06-1982,Q4,2009,11,November,Nov,29,173226,Kalamazoo,Portage,KS,49024
971640,Prof.,Clarence,A,xxx,M,05-11-1989,Q4,2008,12,December,Dec,31,165272,Scott,Oneida,TN,37841
253573,Ms.,Sharon,E,xxx,F,05-04-1991,Q1,2014,3,March,Mar,7,190139,McDowell,Bartley,WV,24813
904898,Drs.,Ann,Q,xxx,F,06-04-1991,Q1,2017,2,February,Feb,15,182521,Lake,Arlee,MT,59821
515103,Ms.,Anne,A,xxx,F,07-04-1991,Q3,2003,7,July,Jul,28,114426,Putnam,Cookeville,TN,38505
491943,Mrs.,Nancy,P,xxx,F,08-04-1991,Q1,1999,2,February,Feb,6,101553,Charlotte,Saxe,VA,23967
750173,Mr.,Antonio,R,xxx,M,09-04-1991,Q2,2017,5,May,May,1,181646,Jefferson,Mc Calla,AL,35111
687017,Ms.,Frances,P,xxx,F,10-04-1991,Q3,2010,8,August,Aug,20,46945,Johnson,Trego,MT,59934
241882,Ms.,Debra,G,xxx,F,11-04-1991,Q1,1991,1,January,Jan,10,84318,Inyo,Blair,NE,68009
758872,Mr.,Henry,Y,xxx,M,12-04-1991,Q2,2017,6,June,Jun,21,102384,Lane,Riverside,MO,64150
